Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC, Microgrid1.PV.P
0.25, 0.0, 6734.01025390625, 0.5127339959144592, 4065.479248046875
0.5, 0.0, -138.9523468017578, 0.5280258059501648, 4065.479248046875
0.75, 0.0, -2096.105712890625, 0.5415947437286377, 4065.479248046875
1.0, 0.0, -1285.2744140625, 0.5550867915153503, 4146.0849609375
1.25, 0.0, -567.16650390625, 0.562223494052887, 4146.0849609375
1.5, 0.0, -241.83633422851562, 0.5636391639709473, 4146.0849609375
1.75, 0.0, -134.66094970703125, 0.5638783574104309, 4146.0849609375
2.0, 0.0, -100.17253875732422, 0.5639312863349915, 4146.0849609375
2.25, 0.0, -86.5679702758789, 0.5639520883560181, 4146.0849609375
2.5, 0.0, -80.1024169921875, 0.5639661550521851, 4146.0849609375
2.75, 0.0, -74.9482421875, 0.5639792084693909, 4146.0849609375
3.0, 0.0, -71.4013442993164, 0.5639920830726624, 4146.0849609375
3.25, 0.0, -68.64381408691406, 0.5640048384666443, 4146.0849609375
3.5, 0.0, -65.72071075439453, 0.5640178322792053, 4146.0849609375
3.75, 0.0, -62.70558547973633, 0.5640304088592529, 4146.0849609375
4.0, 2000.0, -21.122821807861328, 0.5640432238578796, 4146.0849609375
4.25, 2000.0, 178.5064697265625, 0.5640559792518616, 4146.0849609375
4.5, 2000.0, 1119.32275390625, 0.5640677213668823, 4146.0849609375
4.75, 2000.0, 1584.837158203125, 0.5640770792961121, 4146.0849609375
5.0, 2000.0, 1811.251953125, 0.564084529876709, 4146.0849609375
5.25, 2000.0, 1909.478759765625, 0.5640917420387268, 4146.0849609375
5.5, 2000.0, 1948.1148681640625, 0.5640987157821655, 4146.0849609375
5.75, 2000.0, 1965.3411865234375, 0.564105212688446, 4146.0849609375
6.0, 2000.0, 1987.808837890625, 0.5641120672225952, 4146.0849609375
6.25, 2000.0, 1990.276611328125, 0.5641187429428101, 4146.0849609375
6.5, 2000.0, 1995.7550048828125, 0.5641255378723145, 4146.0849609375
6.75, 2000.0, 1997.0447998046875, 0.5641322731971741, 4146.0849609375
7.0, 2000.0, 1999.125, 0.5641388297080994, 4146.0849609375
7.25, 2000.0, 2001.2476806640625, 0.5641453266143799, 4146.0849609375
7.5, 2000.0, 2000.3724365234375, 0.5641520619392395, 4146.0849609375
7.75, 2000.0, 1998.526123046875, 0.5641588568687439, 4146.0849609375
8.0, 2000.0, 2001.156005859375, 0.5641654133796692, 4146.0849609375
8.25, 2000.0, 1999.8902587890625, 0.5641719698905945, 4146.0849609375
8.5, 2000.0, 1998.9573974609375, 0.5641787052154541, 4146.0849609375
8.75, 3000.0, 2609.36376953125, 0.5641851425170898, 4146.0849609375
9.0, 3000.0, 2869.172607421875, 0.5641905665397644, 4146.0849609375
9.25, 3000.0, 2941.596923828125, 0.5641951560974121, 4146.0849609375
9.5, 3000.0, 2967.450927734375, 0.5641997456550598, 4146.0849609375
9.75, 3000.0, 2982.509521484375, 0.5642043352127075, 4146.0849609375
10.0, 3000.0, 2990.43701171875, 0.5642088651657104, 4146.0849609375
10.25, 3000.0, 2992.76904296875, 0.5642133355140686, 4146.0849609375
10.5, 3000.0, 2997.47314453125, 0.5642178654670715, 4146.0849609375
10.75, 3000.0, 2995.0732421875, 0.5642223954200745, 4146.0849609375
11.0, 3000.0, 2998.309814453125, 0.5642268657684326, 4146.0849609375
11.25, 3000.0, 2999.08447265625, 0.5642314553260803, 4146.0849609375
11.5, 3000.0, 2998.9853515625, 0.5642358660697937, 4146.0849609375
11.75, 3000.0, 2999.591064453125, 0.5642403960227966, 4146.0849609375
12.0, 3000.0, 2999.311767578125, 0.5642448663711548, 4146.0849609375
12.25, 3000.0, 2999.937255859375, 0.5642492771148682, 4146.0849609375
12.5, 3000.0, 3000.220458984375, 0.5642537474632263, 4146.0849609375
12.75, 3000.0, 2999.278076171875, 0.5642582178115845, 4146.0849609375
13.0, 3000.0, 2999.850341796875, 0.5642626881599426, 4146.0849609375
13.25, 3000.0, 3000.288818359375, 0.5642671585083008, 4146.0849609375
13.5, 10000.0, 8515.4423828125, 0.5642690658569336, 4146.0849609375
13.75, 10000.0, 9668.705078125, 0.5642614364624023, 4146.0849609375
14.0, 10000.0, 9907.525390625, 0.5642459392547607, 4146.0849609375
14.25, 10000.0, 9961.142578125, 0.5642262697219849, 4146.0849609375
14.5, 10000.0, 9987.0673828125, 0.5642051100730896, 4146.0849609375
14.75, 10000.0, 9995.5751953125, 0.5641834139823914, 4146.0849609375
15.0, 10000.0, 10000.7353515625, 0.5641626119613647, 4146.0849609375
15.25, 10000.0, 9998.4541015625, 0.5641406178474426, 4146.0849609375
15.5, 10000.0, 9998.6669921875, 0.5641190409660339, 4146.0849609375
15.75, 10000.0, 10000.9091796875, 0.5640978217124939, 4146.0849609375
16.0, 10000.0, 10000.384765625, 0.5640755295753479, 4146.0849609375
16.25, 10000.0, 10003.0087890625, 0.5640533566474915, 4146.0849609375
16.5, 10000.0, 9998.494140625, 0.564031183719635, 4146.0849609375
16.75, 10000.0, 10000.474609375, 0.5640096068382263, 4146.0849609375
17.0, 10000.0, 9999.78515625, 0.5639880895614624, 4146.0849609375
17.25, 10000.0, 9998.419921875, 0.5639659762382507, 4146.0849609375
17.5, 10000.0, 9999.8310546875, 0.56394362449646, 4146.0849609375
17.75, 10000.0, 9999.953125, 0.5639214515686035, 4146.0849609375
18.0, 10000.0, 9998.8134765625, 0.5638993978500366, 4146.0849609375
