Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, 5979.443359375, 0.0
0.5, 25.0, 12723.4404296875, 0.0
0.75, 25.0, 14256.06640625, 0.0
1.0, 25.0, 14608.4130859375, 0.0
1.25, 25.0, 14651.0361328125, 0.0
1.5, 25.0, 14620.5830078125, 0.0
1.75, 25.0, 14556.1572265625, 0.0
2.0, 25.0, 14415.9814453125, 0.0
2.25, 25.0, 14296.89453125, 0.0
2.5, 25.0, 14254.3798828125, 0.0
2.75, 25.0, 14228.4345703125, 0.0
3.0, 25.0, 14217.7724609375, 0.0
3.25, 25.0, 14226.2568359375, 0.0
3.5, 25.0, 14249.1943359375, 0.0
3.75, 25.0, 14276.84765625, 0.0
4.0, 25.0, 14295.056640625, 0.0
4.25, 25.0, 14298.328125, 0.0
4.5, 25.0, 14282.9404296875, 0.0
4.75, 25.0, 14261.142578125, 0.0
5.0, 25.0, 14240.8203125, 0.0
5.25, 25.0, 14228.6025390625, 0.0
5.5, 25.0, 14228.60546875, 0.0
5.75, 25.0, 14231.1240234375, 0.0
6.0, 25.0, 14230.1494140625, 0.0
6.25, 25.0, 14218.1630859375, 0.0
6.5, 25.0, 14195.501953125, 0.0
6.75, 25.0, 14172.0810546875, 0.0
7.0, -6.501049995422363, 14154.048828125, 0.0
7.25, -6.501049995422363, 14153.6923828125, 0.0
7.5, -6.501049995422363, 14169.87109375, 0.0
7.75, -6.501049995422363, 14195.7275390625, 0.0
8.0, -6.501049995422363, 14220.4189453125, 0.0
8.25, -6.501049995422363, 14232.408203125, 0.0
8.5, -6.501049995422363, 14227.7646484375, 0.0
8.75, -6.501049995422363, 14210.123046875, 0.0
9.0, -6.501049995422363, 14186.1884765625, 0.0
9.25, -6.501049995422363, 14169.2158203125, 0.0
9.5, -6.501049995422363, 14163.0478515625, 0.0
9.75, -6.501049995422363, 14164.4189453125, 0.0
10.0, -6.501049995422363, 14167.435546875, 0.0
10.25, -6.501049995422363, 14161.6513671875, 0.0
10.5, -6.501049995422363, 14146.14453125, 0.0
10.75, -6.501049995422363, 14121.26953125, 0.0
11.0, -60.50144958496094, 14098.3125, 0.0
11.25, -60.50144958496094, 14087.189453125, 0.0
11.5, -60.50144958496094, 14093.8818359375, 0.0
11.75, -60.50144958496094, 14114.2822265625, 0.0
12.0, -60.50144958496094, 14142.12890625, 0.0
12.25, -60.50144958496094, 14162.994140625, 0.0
12.5, -60.50144958496094, 14167.9619140625, 0.0
12.75, -60.50144958496094, 14157.98046875, 0.0
13.0, -60.50144958496094, 14134.5400390625, 0.0
13.25, -60.50144958496094, 14113.318359375, 0.0
13.5, -60.50144958496094, 14099.486328125, 0.0
13.75, -60.50144958496094, 14098.103515625, 0.0
