Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, -574.5658569335938, 0.0
0.5, 25.0, -4714.50390625, 0.0
0.75, 25.0, -5323.72705078125, 0.0
1.0, 25.0, -5183.8515625, 0.0
1.25, 25.0, -5117.078125, 0.0
1.5, 25.0, -5056.98388671875, 0.0
1.75, 25.0, -4978.3310546875, 0.0
2.0, 25.0, -4726.3251953125, 0.0
2.25, 25.0, -4553.19287109375, 0.0
2.5, 25.0, -4508.83203125, 0.0
2.75, 25.0, -4500.9228515625, 0.0
3.0, 25.0, -4499.8056640625, 0.0
3.25, 25.0, -4499.93115234375, 0.0
3.5, 25.0, -4500.22705078125, 0.0
3.75, 25.0, -4498.333984375, 0.0
4.0, 25.0, -4499.5595703125, 0.0
4.25, 25.0, -4500.56005859375, 0.0
4.5, 25.0, -4498.7763671875, 0.0
4.75, 25.0, -4499.21484375, 0.0
5.0, 25.0, -4498.2802734375, 0.0
5.25, 25.0, -4499.8779296875, 0.0
5.5, 25.0, -4497.294921875, 0.0
5.75, 25.0, -4498.24755859375, 0.0
6.0, 25.0, -4497.078125, 0.0
6.25, 25.0, -4498.0244140625, 0.0
6.5, 25.0, -4498.5185546875, 0.0
6.75, 25.0, -4499.216796875, 0.0
7.0, -6.501049995422363, -4498.5263671875, 0.0
7.25, -6.501049995422363, -4498.69580078125, 0.0
7.5, -6.501049995422363, -4499.408203125, 0.0
7.75, -6.501049995422363, -4498.75, 0.0
8.0, -6.501049995422363, -4498.5478515625, 0.0
8.25, -6.501049995422363, -4499.40283203125, 0.0
8.5, -6.501049995422363, -4499.3486328125, 0.0
8.75, -6.501049995422363, -4499.369140625, 0.0
9.0, -6.501049995422363, -4500.2890625, 0.0
9.25, -6.501049995422363, -4498.48388671875, 0.0
9.5, -6.501049995422363, -4498.14697265625, 0.0
9.75, -6.501049995422363, -4498.583984375, 0.0
10.0, -6.501049995422363, -4498.04150390625, 0.0
10.25, -6.501049995422363, -4497.3818359375, 0.0
10.5, -6.501049995422363, -4499.43017578125, 0.0
10.75, -6.501049995422363, -4497.64599609375, 0.0
11.0, -60.50144958496094, -4499.623046875, 0.0
11.25, -60.50144958496094, -4499.0927734375, 0.0
11.5, -60.50144958496094, -4497.68017578125, 0.0
11.75, -60.50144958496094, -4498.22216796875, 0.0
12.0, -60.50144958496094, -4499.31689453125, 0.0
12.25, -60.50144958496094, -4497.419921875, 0.0
12.5, -60.50144958496094, -4498.8388671875, 0.0
12.75, -60.50144958496094, -4499.2451171875, 0.0
13.0, -60.50144958496094, -4498.42138671875, 0.0
13.25, -60.50144958496094, -4498.87451171875, 0.0
13.5, -60.50144958496094, -4499.2138671875, 0.0
13.75, -60.50144958496094, -4498.18017578125, 0.0
14.0, -60.50144958496094, -4498.59765625, 0.0
14.25, -60.50144958496094, -4499.849609375, 0.0
14.5, -60.50144958496094, -4499.25146484375, 0.0
14.75, -60.50144958496094, -4498.32373046875, 0.0
15.0, -148.50245666503906, -4499.337890625, 0.0
15.25, -148.50245666503906, -4498.2255859375, 0.0
15.5, -148.50245666503906, -4498.896484375, 0.0
15.75, -148.50245666503906, -4497.88427734375, 0.0
16.0, -148.50245666503906, -4498.3974609375, 0.0
16.25, -148.50245666503906, -4498.42138671875, 0.0
16.5, -148.50245666503906, -4499.314453125, 0.0
16.75, -148.50245666503906, -4497.55859375, 0.0
17.0, -148.50245666503906, -4498.291015625, 0.0
17.25, -148.50245666503906, -4497.75830078125, 0.0
17.5, -148.50245666503906, -4499.47705078125, 0.0
17.75, -148.50245666503906, -4498.5966796875, 0.0
18.0, -148.50245666503906, -4498.3994140625, 0.0
18.25, -148.50245666503906, -4499.32568359375, 0.0
18.5, -148.50245666503906, -4498.7294921875, 0.0
18.75, -148.50245666503906, -4499.29345703125, 0.0
19.0, -257.7528381347656, -4500.48291015625, 0.0
19.25, -257.7528381347656, -4498.11376953125, 0.0
19.5, -257.7528381347656, -4497.41259765625, 0.0
19.75, -257.7528381347656, -4499.56787109375, 0.0
20.0, -257.7528381347656, -4498.873046875, 0.0
20.25, -257.7528381347656, -4498.662109375, 0.0
20.5, -257.7528381347656, -4499.4189453125, 0.0
20.75, -257.7528381347656, -4497.3828125, 0.0
21.0, -257.7528381347656, -4499.62353515625, 0.0
21.25, -257.7528381347656, -4499.3876953125, 0.0
21.5, -257.7528381347656, -4497.2900390625, 0.0
21.75, -257.7528381347656, -4499.01708984375, 0.0
22.0, -257.7528381347656, -4498.408203125, 0.0
22.25, -257.7528381347656, -4497.44384765625, 0.0
22.5, -257.7528381347656, -4498.71826171875, 0.0
22.75, -257.7528381347656, -4498.109375, 0.0
23.0, -370.7528381347656, -4497.6494140625, 0.0
23.25, -370.7528381347656, -4499.84619140625, 0.0
23.5, -370.7528381347656, -4498.98046875, 0.0
23.75, -370.7528381347656, -4498.08056640625, 0.0
24.0, -370.7528381347656, -4498.1796875, 0.0
24.25, -370.7528381347656, -4498.08447265625, 0.0
24.5, -370.7528381347656, -4498.455078125, 0.0
24.75, -370.7528381347656, -4499.89990234375, 0.0
25.0, -370.7528381347656, -4500.1162109375, 0.0
25.25, -370.7528381347656, -4498.38818359375, 0.0
25.5, -370.7528381347656, -4500.55517578125, 0.0
