Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, -532.42578125, 0.0
0.5, 25.0, -4675.7548828125, 0.0
0.75, 25.0, -5387.369140625, 0.0
1.0, 25.0, -5192.400390625, 0.0
1.25, 25.0, -4947.9619140625, 0.0
1.5, 25.0, -4854.2783203125, 0.0
1.75, 25.0, -5049.74072265625, 0.0
2.0, 25.0, -4771.6904296875, 0.0
2.25, 25.0, -4458.2763671875, 0.0
2.5, 25.0, -4316.46240234375, 0.0
2.75, 25.0, -4718.0947265625, 0.0
3.0, 25.0, -4656.048828125, 0.0
3.25, 25.0, -4333.013671875, 0.0
3.5, 25.0, -4694.453125, 0.0
3.75, 25.0, -4620.330078125, 0.0
4.0, 25.0, -4297.12158203125, 0.0
4.25, 25.0, -4698.62939453125, 0.0
4.5, 25.0, -4712.2744140625, 0.0
4.75, 25.0, -4470.2666015625, 0.0
5.0, 25.0, -4502.16748046875, 0.0
5.25, 25.0, -4562.4345703125, 0.0
5.5, 25.0, -4363.865234375, 0.0
5.75, 25.0, -4658.22607421875, 0.0
6.0, 25.0, -4711.81396484375, 0.0
6.25, 25.0, -4306.2841796875, 0.0
6.5, 25.0, -4425.37744140625, 0.0
6.75, 25.0, -4531.53125, 0.0
7.0, -6.501049995422363, -4448.11865234375, 0.0
7.25, -6.501049995422363, -4470.14453125, 0.0
7.5, -6.501049995422363, -4500.91845703125, 0.0
7.75, -6.501049995422363, -4591.140625, 0.0
8.0, -6.501049995422363, -4342.7529296875, 0.0
8.25, -6.501049995422363, -4579.2744140625, 0.0
8.5, -6.501049995422363, -4710.9853515625, 0.0
8.75, -6.501049995422363, -4452.85498046875, 0.0
9.0, -6.501049995422363, -4299.17919921875, 0.0
9.25, -6.501049995422363, -4657.07421875, 0.0
9.5, -6.501049995422363, -4593.84619140625, 0.0
9.75, -6.501049995422363, -4516.1318359375, 0.0
10.0, -6.501049995422363, -4448.62744140625, 0.0
10.25, -6.501049995422363, -4707.74853515625, 0.0
10.5, -6.501049995422363, -4511.12158203125, 0.0
10.75, -6.501049995422363, -4469.5966796875, 0.0
11.0, -60.50144958496094, -4532.61328125, 0.0
11.25, -60.50144958496094, -4468.60546875, 0.0
11.5, -60.50144958496094, -4371.58251953125, 0.0
11.75, -60.50144958496094, -4643.60498046875, 0.0
12.0, -60.50144958496094, -4355.4931640625, 0.0
12.25, -60.50144958496094, -4705.96728515625, 0.0
12.5, -60.50144958496094, -4651.19580078125, 0.0
12.75, -60.50144958496094, -4388.97412109375, 0.0
13.0, -60.50144958496094, -4625.90087890625, 0.0
13.25, -60.50144958496094, -4447.7333984375, 0.0
13.5, -60.50144958496094, -4342.48974609375, 0.0
13.75, -60.50144958496094, -4708.85546875, 0.0
14.0, -60.50144958496094, -4552.87548828125, 0.0
14.25, -60.50144958496094, -4476.150390625, 0.0
14.5, -60.50144958496094, -4649.3232421875, 0.0
14.75, -60.50144958496094, -4557.0859375, 0.0
15.0, -148.50245666503906, -4567.92431640625, 0.0
15.25, -148.50245666503906, -4687.10009765625, 0.0
15.5, -148.50245666503906, -4711.07080078125, 0.0
15.75, -148.50245666503906, -4679.1552734375, 0.0
16.0, -148.50245666503906, -4311.14794921875, 0.0
16.25, -148.50245666503906, -4707.5615234375, 0.0
16.5, -148.50245666503906, -4571.80224609375, 0.0
16.75, -148.50245666503906, -4297.89599609375, 0.0
17.0, -148.50245666503906, -4296.85888671875, 0.0
17.25, -148.50245666503906, -4649.10986328125, 0.0
17.5, -148.50245666503906, -4660.7529296875, 0.0
17.75, -148.50245666503906, -4300.3095703125, 0.0
18.0, -148.50245666503906, -4318.87158203125, 0.0
18.25, -148.50245666503906, -4693.76318359375, 0.0
18.5, -148.50245666503906, -4687.0302734375, 0.0
18.75, -148.50245666503906, -4354.4541015625, 0.0
19.0, -257.7528381347656, -4446.52001953125, 0.0
19.25, -257.7528381347656, -4710.55859375, 0.0
19.5, -257.7528381347656, -4600.291015625, 0.0
19.75, -257.7528381347656, -4297.44140625, 0.0
20.0, -257.7528381347656, -4307.259765625, 0.0
20.25, -257.7528381347656, -4707.181640625, 0.0
20.5, -257.7528381347656, -4460.13525390625, 0.0
20.75, -257.7528381347656, -4522.76806640625, 0.0
21.0, -257.7528381347656, -4538.53173828125, 0.0
21.25, -257.7528381347656, -4556.55859375, 0.0
21.5, -257.7528381347656, -4550.75, 0.0
21.75, -257.7528381347656, -4611.22802734375, 0.0
22.0, -257.7528381347656, -4446.43896484375, 0.0
22.25, -257.7528381347656, -4480.33935546875, 0.0
22.5, -257.7528381347656, -4319.7431640625, 0.0
22.75, -257.7528381347656, -4648.96923828125, 0.0
23.0, -370.7528381347656, -4551.51513671875, 0.0
23.25, -370.7528381347656, -4446.6943359375, 0.0
23.5, -370.7528381347656, -4568.69970703125, 0.0
23.75, -370.7528381347656, -4478.9921875, 0.0
24.0, -370.7528381347656, -4335.49365234375, 0.0
24.25, -370.7528381347656, -4708.5712890625, 0.0
24.5, -370.7528381347656, -4684.52099609375, 0.0
24.75, -370.7528381347656, -4304.82666015625, 0.0
