Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, -433.0071716308594, 0.0
0.5, 25.0, -4536.40771484375, 0.0
0.75, 25.0, -5319.1953125, 0.0
1.0, 25.0, -5182.57177734375, 0.0
1.25, 25.0, -5120.42822265625, 0.0
1.5, 25.0, -5054.7646484375, 0.0
1.75, 25.0, -4975.26025390625, 0.0
2.0, 25.0, -4707.37451171875, 0.0
2.25, 25.0, -4547.5986328125, 0.0
2.5, 25.0, -4508.11328125, 0.0
2.75, 25.0, -4495.42919921875, 0.0
3.0, 25.0, -4494.3759765625, 0.0
3.25, 25.0, -4495.69287109375, 0.0
3.5, 25.0, -4494.59033203125, 0.0
3.75, 25.0, -4492.45751953125, 0.0
4.0, 25.0, -4496.11083984375, 0.0
4.25, 25.0, -4495.75634765625, 0.0
4.5, 25.0, -4494.98876953125, 0.0
4.75, 25.0, -4496.21484375, 0.0
5.0, 25.0, -4493.61083984375, 0.0
5.25, 25.0, -4494.6474609375, 0.0
5.5, 25.0, -4496.72412109375, 0.0
5.75, 25.0, -4495.5048828125, 0.0
6.0, 25.0, -4495.029296875, 0.0
6.25, 25.0, -4496.76806640625, 0.0
6.5, 25.0, -4494.84326171875, 0.0
6.75, 25.0, -4494.80859375, 0.0
7.0, -6.501049995422363, -4495.31591796875, 0.0
7.25, -6.501049995422363, -4493.73486328125, 0.0
7.5, -6.501049995422363, -4497.158203125, 0.0
7.75, -6.501049995422363, -4494.72412109375, 0.0
8.0, -6.501049995422363, -4496.60205078125, 0.0
8.25, -6.501049995422363, -4495.68115234375, 0.0
8.5, -6.501049995422363, -4495.6875, 0.0
8.75, -6.501049995422363, -4494.1064453125, 0.0
9.0, -6.501049995422363, -4495.0166015625, 0.0
9.25, -6.501049995422363, -4494.5546875, 0.0
9.5, -6.501049995422363, -4494.84326171875, 0.0
9.75, -6.501049995422363, -4495.87939453125, 0.0
10.0, -6.501049995422363, -4495.822265625, 0.0
10.25, -6.501049995422363, -4493.861328125, 0.0
10.5, -6.501049995422363, -4493.421875, 0.0
10.75, -6.501049995422363, -4494.30712890625, 0.0
11.0, -60.50144958496094, -4494.6806640625, 0.0
11.25, -60.50144958496094, -4305.79296875, 0.0
11.5, -60.50144958496094, -1092.3543701171875, 0.0
11.75, -60.50144958496094, -247.38995361328125, 0.0
12.0, -60.50144958496094, -138.4711456298828, 0.0
12.25, -60.50144958496094, -113.54216003417969, 0.0
12.5, -60.50144958496094, -111.70812225341797, 0.0
12.75, -60.50144958496094, -110.25817108154297, 0.0
13.0, -60.50144958496094, -110.78813934326172, 0.0
13.25, -60.50144958496094, -111.61943054199219, 0.0
13.5, -60.50144958496094, -102.75738525390625, 0.0
13.75, -60.50144958496094, -123.45272064208984, -60.0
14.0, -60.50144958496094, -148.20396423339844, -60.0
14.25, -60.50144958496094, -164.9364471435547, -60.0
14.5, -60.50144958496094, -161.99276733398438, -60.0
14.75, -60.50144958496094, -169.28904724121094, -60.0
15.0, -148.50245666503906, -170.52337646484375, -60.0
15.25, -148.50245666503906, 298.0207824707031, 1193.0
15.5, -148.50245666503906, 959.959716796875, 1193.0
15.75, -148.50245666503906, 457.8193359375, 83.0
16.0, -148.50245666503906, 24.932147979736328, 83.0
16.25, -148.50245666503906, -32.821319580078125, 83.0
16.5, -148.50245666503906, -41.83055877685547, 83.0
16.75, -148.50245666503906, -44.90485763549805, 83.0
17.0, -148.50245666503906, -42.21570587158203, 83.0
17.25, -148.50245666503906, -38.07512664794922, 83.0
17.5, -148.50245666503906, -33.89269256591797, 83.0
17.75, -148.50245666503906, -47.93130111694336, 83.0
18.0, -148.50245666503906, -49.51261901855469, 83.0
18.25, -148.50245666503906, -41.30401611328125, 83.0
18.5, -148.50245666503906, -46.17523193359375, 83.0
18.75, -148.50245666503906, -36.333560943603516, 83.0
19.0, -257.7528381347656, -37.824039459228516, 83.0
19.25, -257.7528381347656, -73.56419372558594, 24.0
19.5, -257.7528381347656, -95.25730895996094, 24.0
19.75, -257.7528381347656, -102.2980728149414, 24.0
20.0, -257.7528381347656, -178.47764587402344, -142.0
20.25, -257.7528381347656, -254.2449493408203, -155.0
20.5, -257.7528381347656, -280.0016784667969, -155.0
20.75, -257.7528381347656, -277.927490234375, -155.0
21.0, -257.7528381347656, -275.1849365234375, -155.0
21.25, -257.7528381347656, -272.894775390625, -155.0
21.5, -257.7528381347656, -281.3701171875, -155.0
21.75, -257.7528381347656, -271.6140441894531, -155.0
22.0, -257.7528381347656, -280.3161926269531, -155.0
22.25, -257.7528381347656, -282.2174987792969, -155.0
22.5, -257.7528381347656, -276.9989929199219, -155.0
22.75, -257.7528381347656, -273.9876708984375, -155.0
23.0, -370.7528381347656, -273.525634765625, -155.0
23.25, -370.7528381347656, -271.6047058105469, -202.0
23.5, -370.7528381347656, -330.7925720214844, -243.0
23.75, -370.7528381347656, -377.0510559082031, -269.0
24.0, -370.7528381347656, -396.194091796875, -269.0
24.25, -370.7528381347656, -387.7089538574219, -269.0
24.5, -370.7528381347656, -398.4094543457031, -269.0
24.75, -370.7528381347656, -392.5713806152344, -269.0
25.0, -370.7528381347656, -391.7242431640625, -269.0
25.25, -370.7528381347656, -384.7526550292969, -269.0
25.5, -370.7528381347656, -393.2743835449219, -269.0
25.75, -370.7528381347656, -397.3375244140625, -269.0
26.0, -370.7528381347656, -399.8197326660156, -269.0
26.25, -370.7528381347656, -388.999755859375, -269.0
26.5, -370.7528381347656, -387.7686767578125, -269.0
26.75, -370.7528381347656, -388.63482666015625, -269.0
27.0, -492.75311279296875, -393.35845947265625, -269.0
27.25, -492.75311279296875, -411.1292419433594, -298.0
27.5, -492.75311279296875, -420.04986572265625, -298.0
27.75, -492.75311279296875, -420.1927490234375, -298.0
28.0, -492.75311279296875, -415.8033447265625, -298.0
28.25, -492.75311279296875, -415.1845397949219, -298.0
28.5, -492.75311279296875, -416.89886474609375, -298.0
28.75, -492.75311279296875, -417.7798156738281, -298.0
29.0, -492.75311279296875, -412.98370361328125, -298.0
29.25, -492.75311279296875, -408.8756408691406, -298.0
29.5, -492.75311279296875, -413.6044921875, -298.0
29.75, -492.75311279296875, -434.54119873046875, -359.0
30.0, -492.75311279296875, -475.4786071777344, -374.0
30.25, -492.75311279296875, -492.17376708984375, -374.0
30.5, -492.75311279296875, -489.7998352050781, -374.0
30.75, -492.75311279296875, -485.7593688964844, -374.0
31.0, -621.5032348632812, -487.3797607421875, -374.0
31.25, -621.5032348632812, -667.263671875, -685.0
31.5, -621.5032348632812, -778.876708984375, -679.0
31.75, -621.5032348632812, -779.7951049804688, -652.0
32.0, -621.5032348632812, -772.1580200195312, -652.0
32.25, -621.5032348632812, -768.3546142578125, -652.0
32.5, -621.5032348632812, -764.7928466796875, -652.0
32.75, -621.5032348632812, -772.2835693359375, -652.0
33.0, -621.5032348632812, -761.4386596679688, -652.0
33.25, -621.5032348632812, -765.9697265625, -652.0
33.5, -621.5032348632812, -768.8924560546875, -652.0
33.75, -621.5032348632812, -769.1785278320312, -652.0
34.0, -621.5032348632812, -762.2092895507812, -652.0
34.25, -621.5032348632812, -767.7723999023438, -652.0
34.5, -621.5032348632812, -771.0743408203125, -652.0
34.75, -621.5032348632812, -768.3316650390625, -652.0
35.0, -751.5032348632812, -764.046875, -652.0
35.25, -751.5032348632812, -711.3628540039062, -329.0
35.5, -751.5032348632812, -481.1480407714844, -329.0
35.75, -751.5032348632812, -502.326904296875, -523.0
36.0, -751.5032348632812, -670.826416015625, -619.0
36.25, -751.5032348632812, -734.7446899414062, -619.0
36.5, -751.5032348632812, -743.1556396484375, -619.0
36.75, -751.5032348632812, -746.1958618164062, -619.0
37.0, -751.5032348632812, -741.575927734375, -619.0
37.25, -751.5032348632812, -738.0977172851562, -619.0
37.5, -751.5032348632812, -733.75341796875, -619.0
37.75, -751.5032348632812, -736.7000732421875, -619.0
38.0, -751.5032348632812, -741.837890625, -619.0
38.25, -751.5032348632812, -745.4100952148438, -619.0
38.5, -751.5032348632812, -741.2022705078125, -619.0
38.75, -751.5032348632812, -736.8267822265625, -619.0
39.0, -881.5032348632812, -741.76318359375, -664.0
39.25, -881.5032348632812, -782.35888671875, -716.0
39.5, -881.5032348632812, -828.9427490234375, -748.0
39.75, -881.5032348632812, -864.2152099609375, -748.0
40.0, -881.5032348632812, -873.0210571289062, -748.0
40.25, -881.5032348632812, -862.2095336914062, -748.0
40.5, -881.5032348632812, -876.4240112304688, -748.0
40.75, -881.5032348632812, -865.4908447265625, -748.0
41.0, -881.5032348632812, -863.4873046875, -748.0
41.25, -881.5032348632812, -863.64794921875, -748.0
41.5, -881.5032348632812, -868.8050537109375, -748.0
41.75, -881.5032348632812, -871.2576293945312, -748.0
42.0, -881.5032348632812, -874.705322265625, -748.0
42.25, -881.5032348632812, -862.535888671875, -748.0
42.5, -881.5032348632812, -867.8718872070312, -748.0
42.75, -881.5032348632812, -872.304931640625, -748.0
43.0, -1011.5032348632812, -871.6030883789062, -793.0
43.25, -1011.5032348632812, -939.6010131835938, -857.0
43.5, -1011.5032348632812, -994.6744995117188, -889.0
43.75, -1011.5032348632812, -1009.8529052734375, -889.0
44.0, -1011.5032348632812, -1014.88525390625, -889.0
44.25, -1011.5032348632812, -1011.2257690429688, -889.0
44.5, -1011.5032348632812, -1011.4443359375, -889.0
44.75, -1011.5032348632812, -1012.5903930664062, -889.0
45.0, -1011.5032348632812, -1016.6472778320312, -889.0
45.25, -1011.5032348632812, -1010.276123046875, -889.0
45.5, -1011.5032348632812, -1011.2654418945312, -889.0
45.75, -1011.5032348632812, -1016.345947265625, -889.0
46.0, -1011.5032348632812, -1018.6487426757812, -889.0
46.25, -1011.5032348632812, -1011.7941284179688, -889.0
46.5, -1011.5032348632812, -1014.2495727539062, -889.0
46.75, -1011.5032348632812, -1016.3394165039062, -889.0
47.0, -1141.5032958984375, -1006.70947265625, -889.0
47.25, -1141.5032958984375, -1041.9117431640625, -982.0
47.5, -1141.5032958984375, -1095.0401611328125, -1018.0
47.75, -1141.5032958984375, -1130.374267578125, -1018.0
48.0, -1141.5032958984375, -1136.9310302734375, -1018.0
48.25, -1141.5032958984375, -1136.828857421875, -1018.0
48.5, -1141.5032958984375, -1146.2308349609375, -1018.0
48.75, -1141.5032958984375, -1142.3787841796875, -1018.0
49.0, -1141.5032958984375, -1140.1156005859375, -1018.0
49.25, -1141.5032958984375, -1145.2032470703125, -1018.0
49.5, -1141.5032958984375, -1142.220458984375, -1018.0
49.75, -1141.5032958984375, -1138.8753662109375, -1018.0
