Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, 5702.31103515625, 0.0
0.5, 25.0, 12526.3017578125, 0.0
0.75, 25.0, 14027.009765625, 0.0
1.0, 25.0, 14242.681640625, 0.0
1.25, 25.0, 14180.0048828125, 0.0
1.5, 25.0, 14053.84765625, 0.0
1.75, 25.0, 13884.0908203125, 0.0
2.0, 25.0, 13635.072265625, 0.0
2.25, 25.0, 13432.0888671875, 0.0
2.5, 25.0, 13291.48828125, 0.0
2.75, 25.0, 13180.740234375, 0.0
3.0, 25.0, 13083.4443359375, 0.0
3.25, 25.0, 13008.6171875, 0.0
3.5, 25.0, 12943.0419921875, 0.0
3.75, 25.0, 12881.8466796875, 0.0
4.0, 25.0, 12811.98828125, 0.0
4.25, 25.0, 12728.7001953125, 0.0
4.5, 25.0, 12633.76171875, 0.0
4.75, 25.0, 12533.830078125, 0.0
5.0, 25.0, 12429.5966796875, 0.0
5.25, 25.0, 12340.5498046875, 0.0
5.5, 25.0, 12259.5361328125, 0.0
5.75, 25.0, 12180.05078125, 0.0
6.0, 25.0, 12098.97265625, 0.0
6.25, 25.0, 12012.5849609375, 0.0
6.5, 25.0, 11917.775390625, 0.0
6.75, 25.0, 11819.158203125, 0.0
7.0, -6.501049995422363, 11734.2353515625, 0.0
7.25, -6.501049995422363, 11667.1494140625, 0.0
7.5, -6.501049995422363, 11612.5400390625, 0.0
7.75, -6.501049995422363, 11566.4013671875, 0.0
8.0, -6.501049995422363, 11515.609375, 0.0
8.25, -6.501049995422363, 11455.34375, 0.0
8.5, -6.501049995422363, 11381.166015625, 0.0
8.75, -6.501049995422363, 11298.4453125, 0.0
9.0, -6.501049995422363, 11213.59765625, 0.0
9.25, -6.501049995422363, 11135.494140625, 0.0
9.5, -6.501049995422363, 11061.9208984375, 0.0
9.75, -6.501049995422363, 11003.208984375, 0.0
10.0, -6.501049995422363, 10938.646484375, 0.0
10.25, -6.501049995422363, 10870.67578125, 0.0
10.5, -6.501049995422363, 10788.0400390625, 0.0
10.75, -6.501049995422363, 10707.396484375, 0.0
11.0, -60.50144958496094, 10631.3056640625, 0.0
11.25, -60.50144958496094, 10568.921875, 0.0
11.5, -60.50144958496094, 10518.9189453125, 0.0
11.75, -60.50144958496094, 10481.69140625, 0.0
12.0, -60.50144958496094, 10449.0556640625, 0.0
12.25, -60.50144958496094, 10405.2255859375, 0.0
12.5, -60.50144958496094, 10354.732421875, 0.0
12.75, -60.50144958496094, 10285.5732421875, 0.0
13.0, -60.50144958496094, 10215.4267578125, 0.0
13.25, -60.50144958496094, 10148.654296875, 0.0
13.5, -60.50144958496094, 10086.505859375, 0.0
13.75, -60.50144958496094, 10034.4873046875, 0.0
14.0, -60.50144958496094, 9984.7861328125, 0.0
14.25, -60.50144958496094, 9930.8076171875, 0.0
14.5, -60.50144958496094, 9867.4375, 0.0
14.75, -60.50144958496094, 9801.7744140625, 0.0
15.0, -148.50245666503906, 9736.1298828125, 0.0
15.25, -148.50245666503906, 9678.0517578125, 0.0
15.5, -148.50245666503906, 9632.0234375, 0.0
15.75, -148.50245666503906, 9599.73046875, 0.0
16.0, -148.50245666503906, 9575.4990234375, 0.0
16.25, -148.50245666503906, 9548.13671875, 0.0
16.5, -148.50245666503906, 9511.904296875, 0.0
16.75, -148.50245666503906, 9463.1708984375, 0.0
17.0, -148.50245666503906, 7015.2177734375, 0.0
17.25, -148.50245666503906, 6027.046875, 0.0
17.5, -148.50245666503906, 5477.31396484375, 0.0
17.75, -148.50245666503906, 5072.59912109375, 0.0
18.0, -148.50245666503906, 4771.599609375, 0.0
18.25, -148.50245666503906, 4496.1298828125, 0.0
18.5, -148.50245666503906, 4244.53662109375, 0.0
18.75, -148.50245666503906, 4003.852783203125, 0.0
19.0, -257.7528381347656, 3783.771240234375, 0.0
19.25, -257.7528381347656, 3580.363525390625, 0.0
19.5, -257.7528381347656, 3375.89111328125, 0.0
19.75, -257.7528381347656, 3206.71435546875, 0.0
20.0, -257.7528381347656, 3039.78564453125, 0.0
20.25, -257.7528381347656, 2880.73388671875, 0.0
20.5, -257.7528381347656, 2705.6171875, 0.0
20.75, -257.7528381347656, 2558.317138671875, 0.0
21.0, -257.7528381347656, 2410.718017578125, 0.0
21.25, -257.7528381347656, 2271.316162109375, 0.0
21.5, -257.7528381347656, 2131.97216796875, 0.0
21.75, -257.7528381347656, 2002.1243896484375, 0.0
22.0, -257.7528381347656, 1867.92724609375, 0.0
22.25, -257.7528381347656, 1751.330810546875, 0.0
22.5, -257.7528381347656, 1634.461181640625, 0.0
22.75, -257.7528381347656, 1520.5267333984375, 0.0
23.0, -370.7528381347656, 1408.3873291015625, 0.0
23.25, -370.7528381347656, 1289.2392578125, 0.0
23.5, -370.7528381347656, 1184.2232666015625, 0.0
23.75, -370.7528381347656, 1084.13623046875, 0.0
24.0, -370.7528381347656, 985.1483764648438, 0.0
24.25, -370.7528381347656, 888.1463012695312, 0.0
24.5, -370.7528381347656, 796.2621459960938, 0.0
24.75, -370.7528381347656, 707.2605590820312, 0.0
25.0, -370.7528381347656, 618.1564331054688, 0.0
25.25, -370.7528381347656, 523.3832397460938, 0.0
25.5, -370.7528381347656, 431.50177001953125, 0.0
25.75, -370.7528381347656, 350.1348876953125, 0.0
26.0, -370.7528381347656, 269.2667541503906, 0.0
26.25, -370.7528381347656, 186.57406616210938, 0.0
26.5, -370.7528381347656, 113.18338012695312, 0.0
26.75, -370.7528381347656, 39.96635437011719, 0.0
27.0, -492.75311279296875, -38.95681381225586, 0.0
27.25, -492.75311279296875, -106.16802215576172, 0.0
27.5, -492.75311279296875, -176.1558074951172, 0.0
27.75, -492.75311279296875, -246.44418334960938, 0.0
28.0, -492.75311279296875, -311.2415466308594, 0.0
28.25, -492.75311279296875, -370.9937438964844, 0.0
28.5, -492.75311279296875, -441.7754211425781, 0.0
28.75, -492.75311279296875, -501.79296875, 0.0
29.0, -492.75311279296875, -564.2882690429688, 0.0
29.25, -492.75311279296875, -619.5917358398438, 0.0
29.5, -492.75311279296875, -679.6012573242188, 0.0
29.75, -492.75311279296875, -736.3373413085938, 0.0
30.0, -492.75311279296875, -791.1357421875, 0.0
30.25, -492.75311279296875, -849.927490234375, 0.0
30.5, -492.75311279296875, -902.435302734375, 0.0
30.75, -492.75311279296875, -956.3104858398438, 0.0
31.0, -621.5032348632812, -1007.8525390625, 0.0
31.25, -621.5032348632812, -1054.46826171875, 0.0
31.5, -621.5032348632812, -1103.73291015625, 0.0
31.75, -621.5032348632812, -1149.9530029296875, 0.0
32.0, -621.5032348632812, -1193.8248291015625, 0.0
32.25, -621.5032348632812, -1245.73388671875, 0.0
