Time, RegD [W], Tie Power [W], Total Pref [W]
0.25, 25.0, 6098.2431640625, 0.0
0.5, 25.0, 12307.703125, 0.0
0.75, 25.0, 13937.6357421875, 0.0
1.0, 25.0, 14233.87890625, 0.0
1.25, 25.0, 14194.6630859375, 0.0
1.5, 25.0, 14071.7431640625, 0.0
1.75, 25.0, 13917.3046875, 0.0
2.0, 25.0, 13657.517578125, 0.0
2.25, 25.0, 13450.7998046875, 0.0
2.5, 25.0, 13312.9296875, 0.0
2.75, 25.0, 13194.380859375, 0.0
3.0, 25.0, 13095.97265625, 0.0
3.25, 25.0, 13017.884765625, 0.0
3.5, 25.0, 12949.15625, 0.0
3.75, 25.0, 12890.595703125, 0.0
4.0, 25.0, 12823.6083984375, 0.0
4.25, 25.0, 12744.9736328125, 0.0
4.5, 25.0, 12650.3330078125, 0.0
4.75, 25.0, 12544.4296875, 0.0
5.0, 25.0, 12444.0556640625, 0.0
5.25, 25.0, 12357.16796875, 0.0
5.5, 25.0, 12274.8359375, 0.0
5.75, 25.0, 12196.4462890625, 0.0
6.0, 25.0, 12118.423828125, 0.0
6.25, 25.0, 12032.0361328125, 0.0
6.5, 25.0, 11934.791015625, 0.0
6.75, 25.0, 11838.7392578125, 0.0
7.0, -6.501049995422363, 11749.9765625, 0.0
7.25, -6.501049995422363, 11679.333984375, 0.0
7.5, -6.501049995422363, 11620.69921875, 0.0
7.75, -6.501049995422363, 11574.498046875, 0.0
8.0, -6.501049995422363, 11525.3740234375, 0.0
8.25, -6.501049995422363, 11465.533203125, 0.0
8.5, -6.501049995422363, 11394.6552734375, 0.0
8.75, -6.501049995422363, 11315.1728515625, 0.0
9.0, -6.501049995422363, 11229.876953125, 0.0
9.25, -6.501049995422363, 11147.81640625, 0.0
9.5, -6.501049995422363, 11077.6240234375, 0.0
9.75, -6.501049995422363, 11015.0126953125, 0.0
10.0, -6.501049995422363, 10950.13671875, 0.0
10.25, -6.501049995422363, 10885.7451171875, 0.0
10.5, -6.501049995422363, 10802.1943359375, 0.0
10.75, -6.501049995422363, 10723.9599609375, 0.0
11.0, -60.50144958496094, 10645.2880859375, 0.0
11.25, -60.50144958496094, 10579.2568359375, 0.0
11.5, -60.50144958496094, 10527.5673828125, 0.0
11.75, -60.50144958496094, 10488.4833984375, 0.0
12.0, -60.50144958496094, 10454.3173828125, 0.0
12.25, -60.50144958496094, 10414.341796875, 0.0
12.5, -60.50144958496094, 10363.0185546875, 0.0
12.75, -60.50144958496094, 10297.2001953125, 0.0
13.0, -60.50144958496094, 10230.71875, 0.0
13.25, -60.50144958496094, 10161.939453125, 0.0
13.5, -60.50144958496094, 10095.9775390625, 0.0
13.75, -60.50144958496094, 10044.7392578125, 0.0
14.0, -60.50144958496094, 9995.33203125, 0.0
14.25, -60.50144958496094, 9940.5673828125, 0.0
14.5, -60.50144958496094, 9881.48828125, 0.0
14.75, -60.50144958496094, 9816.892578125, 0.0
15.0, -148.50245666503906, 9747.51953125, 0.0
15.25, -148.50245666503906, 9687.2158203125, 0.0
15.5, -148.50245666503906, 9637.119140625, 0.0
15.75, -148.50245666503906, 9606.3916015625, 0.0
16.0, -148.50245666503906, 9579.8232421875, 0.0
16.25, -148.50245666503906, 9553.9658203125, 0.0
16.5, -148.50245666503906, 9519.5224609375, 0.0
16.75, -148.50245666503906, 9476.7421875, 0.0
17.0, -148.50245666503906, 7475.4794921875, 0.0
17.25, -148.50245666503906, 6215.86328125, 0.0
17.5, -148.50245666503906, 5543.236328125, 0.0
17.75, -148.50245666503906, 5145.8818359375, 0.0
18.0, -148.50245666503906, 4837.42236328125, 0.0
18.25, -148.50245666503906, 4550.83935546875, 0.0
18.5, -148.50245666503906, 4296.087890625, 0.0
18.75, -148.50245666503906, 4068.839111328125, 0.0
19.0, -257.7528381347656, 3827.297119140625, 0.0
19.25, -257.7528381347656, 3623.42236328125, 0.0
19.5, -257.7528381347656, 3429.26953125, 0.0
19.75, -257.7528381347656, 3244.01318359375, 0.0
20.0, -257.7528381347656, 3078.26708984375, 0.0
20.25, -257.7528381347656, 2916.520263671875, 0.0
20.5, -257.7528381347656, 2760.782958984375, 0.0
20.75, -257.7528381347656, 2603.982421875, 0.0
21.0, -257.7528381347656, 2451.27783203125, 0.0
21.25, -257.7528381347656, 2318.628662109375, 0.0
21.5, -257.7528381347656, 2172.3564453125, 0.0
21.75, -257.7528381347656, 2043.8682861328125, 0.0
22.0, -257.7528381347656, 1911.3619384765625, 0.0
22.25, -257.7528381347656, 1791.8406982421875, 0.0
22.5, -257.7528381347656, 1669.384765625, 0.0
22.75, -257.7528381347656, 1554.64013671875, 0.0
23.0, -370.7528381347656, 1441.796142578125, 0.0
23.25, -370.7528381347656, 1330.559326171875, 0.0
23.5, -370.7528381347656, 1218.3941650390625, 0.0
23.75, -370.7528381347656, 1115.5997314453125, 0.0
24.0, -370.7528381347656, 1010.6891479492188, 0.0
24.25, -370.7528381347656, 915.3842163085938, 0.0
24.5, -370.7528381347656, 819.5670776367188, 0.0
24.75, -370.7528381347656, 728.9891967773438, 0.0
25.0, -370.7528381347656, 634.4099731445312, 0.0
25.25, -370.7528381347656, 548.9618530273438, 0.0
25.5, -370.7528381347656, 464.5298767089844, 0.0
25.75, -370.7528381347656, 377.04449462890625, 0.0
26.0, -370.7528381347656, 292.40081787109375, 0.0
26.25, -370.7528381347656, 215.4990997314453, 0.0
26.5, -370.7528381347656, 138.32919311523438, 0.0
26.75, -370.7528381347656, 64.7757339477539, 0.0
27.0, -492.75311279296875, -11.10047721862793, 0.0
27.25, -492.75311279296875, -82.67272186279297, 0.0
27.5, -492.75311279296875, -151.62855529785156, 0.0
27.75, -492.75311279296875, -218.6925506591797, 0.0
28.0, -492.75311279296875, -289.2633972167969, 0.0
28.25, -492.75311279296875, -354.7940368652344, 0.0
28.5, -492.75311279296875, -420.4896240234375, 0.0
28.75, -492.75311279296875, -481.905029296875, 0.0
29.0, -492.75311279296875, -542.893798828125, 0.0
29.25, -492.75311279296875, -601.9586791992188, 0.0
29.5, -492.75311279296875, -662.1074829101562, 0.0
29.75, -492.75311279296875, -718.9775390625, 0.0
30.0, -492.75311279296875, -772.5065307617188, 0.0
30.25, -492.75311279296875, -826.851318359375, 0.0
30.5, -492.75311279296875, -887.1730346679688, 0.0
30.75, -492.75311279296875, -938.6860961914062, 0.0
31.0, -621.5032348632812, -989.6265869140625, 0.0
31.25, -621.5032348632812, -1036.63720703125, 0.0
31.5, -621.5032348632812, -1084.7293701171875, 0.0
31.75, -621.5032348632812, -1134.4617919921875, 0.0
32.0, -621.5032348632812, -1180.8463134765625, 0.0
32.25, -621.5032348632812, -1229.99853515625, 0.0
32.5, -621.5032348632812, -1276.887939453125, 0.0
32.75, -621.5032348632812, -1324.1795654296875, 0.0
33.0, -621.5032348632812, -1373.0201416015625, 0.0
33.25, -621.5032348632812, -1415.2135009765625, 0.0
33.5, -621.5032348632812, -1457.241943359375, 0.0
33.75, -621.5032348632812, -1500.90234375, 0.0
34.0, -621.5032348632812, -1543.472412109375, 0.0
34.25, -621.5032348632812, -1582.777099609375, 0.0
34.5, -621.5032348632812, -1624.374267578125, 0.0
34.75, -621.5032348632812, -1662.8011474609375, 0.0
35.0, -751.5032348632812, -1703.7996826171875, 0.0
35.25, -751.5032348632812, -1738.4921875, 0.0
35.5, -751.5032348632812, -1767.9044189453125, 0.0
35.75, -751.5032348632812, -1807.0994873046875, 0.0
36.0, -751.5032348632812, -1839.9423828125, 0.0
36.25, -751.5032348632812, -1875.9122314453125, 0.0
36.5, -751.5032348632812, -1917.03076171875, 0.0
36.75, -751.5032348632812, -1955.595458984375, 0.0
37.0, -751.5032348632812, -1991.27783203125, 0.0
37.25, -751.5032348632812, -2025.0406494140625, 0.0
37.5, -751.5032348632812, -2058.46044921875, 0.0
37.75, -751.5032348632812, -2084.373779296875, 0.0
38.0, -751.5032348632812, -2114.166748046875, 0.0
38.25, -751.5032348632812, -2143.234130859375, 0.0
38.5, -751.5032348632812, -2173.91748046875, 0.0
38.75, -751.5032348632812, -2205.780517578125, 0.0
39.0, -881.5032348632812, -2240.44970703125, 0.0
39.25, -881.5032348632812, -2267.246826171875, 0.0
39.5, -881.5032348632812, -2296.609130859375, 0.0
39.75, -881.5032348632812, -2317.387939453125, 0.0
40.0, -881.5032348632812, -2339.457763671875, 0.0
40.25, -881.5032348632812, -2365.851318359375, 0.0
40.5, -881.5032348632812, -2397.89404296875, 0.0
40.75, -881.5032348632812, -2432.0400390625, 0.0
41.0, -881.5032348632812, -2464.3466796875, 0.0
41.25, -881.5032348632812, -2490.797119140625, 0.0
41.5, -881.5032348632812, -2516.466796875, 0.0
41.75, -881.5032348632812, -2537.36669921875, 0.0
42.0, -881.5032348632812, -2560.463134765625, 0.0
42.25, -881.5032348632812, -2582.688720703125, 0.0
42.5, -881.5032348632812, -2605.604248046875, 0.0
42.75, -881.5032348632812, -2631.720947265625, 0.0
43.0, -1011.5032348632812, -2657.978271484375, 0.0
43.25, -1011.5032348632812, -2682.6259765625, 0.0
43.5, -1011.5032348632812, -2700.94482421875, 0.0
43.75, -1011.5032348632812, -2718.668212890625, 0.0
44.0, -1011.5032348632812, -2735.8408203125, 0.0
44.25, -1011.5032348632812, -2756.033203125, 0.0
44.5, -1011.5032348632812, -2777.2138671875, 0.0
44.75, -1011.5032348632812, -2806.268310546875, 0.0
45.0, -1011.5032348632812, -2834.89501953125, 0.0
45.25, -1011.5032348632812, -2859.161865234375, 0.0
45.5, -1011.5032348632812, -2882.256591796875, 0.0
45.75, -1011.5032348632812, -2900.91357421875, 0.0
46.0, -1011.5032348632812, -2916.267822265625, 0.0
46.25, -1011.5032348632812, -2931.7294921875, 0.0
46.5, -1011.5032348632812, -2948.85009765625, 0.0
46.75, -1011.5032348632812, -2967.63623046875, 0.0
47.0, -1141.5032958984375, -2992.2177734375, 0.0
47.25, -1141.5032958984375, -3012.533447265625, 0.0
47.5, -1141.5032958984375, -3032.6826171875, 0.0
47.75, -1141.5032958984375, -3045.760009765625, 0.0
48.0, -1141.5032958984375, -3057.948974609375, 0.0
48.25, -1141.5032958984375, -3069.881103515625, 0.0
48.5, -1141.5032958984375, -3087.9189453125, 0.0
48.75, -1141.5032958984375, -3108.9052734375, 0.0
49.0, -1141.5032958984375, -3131.062255859375, 0.0
49.25, -1141.5032958984375, -3156.259765625, 0.0
49.5, -1141.5032958984375, -3176.1748046875, 0.0
49.75, -1141.5032958984375, -3192.172607421875, 0.0
50.0, -1141.5032958984375, -3205.216796875, 0.0
50.25, -1141.5032958984375, -3214.047607421875, 0.0
50.5, -1141.5032958984375, -3228.20849609375, 0.0
50.75, -1141.5032958984375, -3245.340576171875, 0.0
51.0, -1271.5032958984375, -3265.428466796875, 0.0
51.25, -1271.5032958984375, -3282.12890625, 0.0
51.5, -1271.5032958984375, -3303.134765625, 0.0
51.75, -1271.5032958984375, -3314.671875, 0.0
52.0, -1271.5032958984375, -3326.09228515625, 0.0
52.25, -1271.5032958984375, -3334.09326171875, 0.0
52.5, -1271.5032958984375, -3344.1455078125, 0.0
52.75, -1271.5032958984375, -3359.089599609375, 0.0
53.0, -1271.5032958984375, -3379.6494140625, 0.0
53.25, -1271.5032958984375, -3400.07421875, 0.0
53.5, -1271.5032958984375, -3420.471923828125, 0.0
53.75, -1271.5032958984375, -3437.570556640625, 0.0
54.0, -1271.5032958984375, -3449.39697265625, 0.0
54.25, -1271.5032958984375, -3457.413818359375, 0.0
54.5, -1271.5032958984375, -3466.082275390625, 0.0
54.75, -1271.5032958984375, -3476.60400390625, 0.0
55.0, -1373.7523193359375, -3492.39892578125, 0.0
55.25, -1373.7523193359375, -3508.579345703125, 0.0
