Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.25, -131.3373565673828, 787.8558959960938, 0.4999997615814209, -133.42396545410156, 7000.0, 1000.0
0.5, -302.69854736328125, 898.4165649414062, 0.49999886751174927, -303.638671875, 7000.0, 1000.0
0.75, -859.5022583007812, 1064.110107421875, 0.499997615814209, -859.09716796875, 7000.0, 1000.0
1.0, -1419.8590087890625, 439.1101989746094, 0.49999698996543884, -1415.3157958984375, 7000.0, 1000.0
1.25, -1872.4400634765625, 574.489990234375, 0.49999648332595825, -1867.32470703125, 7000.0, 1000.0
1.5, -2134.970703125, 543.4378662109375, 0.4999963045120239, -2129.674072265625, 7000.0, 1000.0
1.75, -2264.872802734375, -247.01153564453125, 0.4999958574771881, -2260.054931640625, 7000.0, 1000.0
2.0, -2414.245849609375, -935.45166015625, 0.4999953508377075, -2408.40771484375, 7000.0, 1000.0
2.25, -2536.8798828125, -1353.982421875, 0.4999949336051941, -2530.94384765625, 7000.0, 1000.0
2.5, -2608.80078125, -1654.289306640625, 0.49999409914016724, -2604.58837890625, 7000.0, 1000.0
2.75, -2657.1650390625, -1828.729248046875, 0.4999929666519165, -2650.41552734375, 7000.0, 1000.0
3.0, -2699.475830078125, -1994.00341796875, 0.49999168515205383, -2693.32568359375, 8000.0, 2000.0
3.25, -2728.0546875, -2141.2783203125, 0.4999904930591583, -2798.802978515625, 8000.0, 2000.0
3.5, -2778.414306640625, -2271.88037109375, 0.49998921155929565, -2947.914306640625, 8000.0, 2000.0
3.75, -2783.401611328125, -2362.36767578125, 0.49998778104782104, -3016.0478515625, 8000.0, 2000.0
4.0, -2821.300048828125, -2452.4931640625, 0.4999861419200897, -3104.8271484375, 8000.0, 2000.0
4.25, -2901.125732421875, -2473.4658203125, 0.4999845623970032, -3136.98681640625, 8000.0, 2000.0
4.5, -3043.684326171875, -2516.578857421875, 0.49998316168785095, -3188.599853515625, 8000.0, 2000.0
4.75, -3113.0556640625, -2481.904296875, 0.49998196959495544, -3222.921142578125, 8000.0, 2000.0
5.0, -3126.3623046875, -2542.567626953125, 0.49998077750205994, -3209.01123046875, 8000.0, 2000.0
5.25, -3169.680419921875, -2507.569091796875, 0.4999796450138092, -3226.393798828125, 8000.0, 2000.0
5.5, -3227.8115234375, -2541.256103515625, 0.49997836351394653, -3295.01806640625, 8000.0, 2000.0
5.75, -3236.221435546875, -2507.809814453125, 0.4999769330024719, -3269.391845703125, 8000.0, 2000.0
6.0, -3312.6875, -2548.7470703125, 0.4999760687351227, -3318.326904296875, 8000.0, 2000.0
6.25, -3295.0791015625, -2504.608642578125, 0.49997562170028687, -3298.55126953125, 8000.0, 2000.0
6.5, -3339.837646484375, -2540.66015625, 0.4999753534793854, -3291.11083984375, 8000.0, 2000.0
6.75, -3329.658203125, -2499.93310546875, 0.49997520446777344, -3297.849365234375, 8000.0, 2000.0
7.0, -3282.382568359375, -2531.159912109375, 0.4999748766422272, -3288.219970703125, 8000.0, 2000.0
7.25, -3288.72705078125, -2507.174560546875, 0.49997445940971375, -3285.314208984375, 8000.0, 2000.0
7.5, -3296.570556640625, -2548.52978515625, 0.4999741017818451, -3346.9345703125, 8000.0, 2000.0
7.75, -3293.31640625, -2509.76025390625, 0.49997368454933167, -3322.48046875, 8000.0, 2000.0
8.0, -3372.385986328125, -2565.375, 0.4999731183052063, -3370.626953125, 8000.0, 2000.0
8.25, -3321.446044921875, -2522.52001953125, 0.4999724328517914, -3344.87890625, 8000.0, 2000.0
8.5, -3355.83447265625, -2542.058349609375, 0.4999716579914093, -3302.434814453125, 8000.0, 2000.0
8.75, -3365.082275390625, -2529.87158203125, 0.49997082352638245, -3290.95703125, 8000.0, 2000.0
9.0, -3294.2294921875, -2558.2412109375, 0.4999696612358093, -3303.83056640625, 8000.0, 2000.0
9.25, -3344.765625, -2528.039794921875, 0.49996834993362427, -3305.185791015625, 8000.0, 2000.0
9.5, -3327.48486328125, -2532.358154296875, 0.49996691942214966, -3352.158935546875, 8000.0, 2000.0
9.75, -3320.99658203125, -2512.965087890625, 0.4999656677246094, -3337.412109375, 8000.0, 2000.0
10.0, -3361.50048828125, -2531.275634765625, 0.49996429681777954, -3322.525390625, 8000.0, 2000.0
10.25, -3355.845703125, -2510.575439453125, 0.49996301531791687, -3325.365966796875, 8000.0, 2000.0
10.5, -3329.8349609375, -2529.70849609375, 0.4999617636203766, -3307.75927734375, 8000.0, 2000.0
10.75, -3343.021728515625, -2504.526123046875, 0.4999607801437378, -3302.136962890625, 8000.0, 2000.0
11.0, -3318.52783203125, -2526.168701171875, 0.4999598562717438, -3373.9365234375, 8000.0, 2000.0
11.25, -3308.094970703125, -2512.083740234375, 0.49995899200439453, -3307.388427734375, 8000.0, 2000.0
11.5, -3362.934326171875, -2532.683349609375, 0.49995821714401245, -3371.084228515625, 8000.0, 2000.0
11.75, -3330.479248046875, -2507.5078125, 0.499957412481308, -3361.255615234375, 8000.0, 2000.0
12.0, -3374.8212890625, -2536.4072265625, 0.4999566674232483, -3279.672119140625, 8000.0, 2000.0
12.25, -3367.08251953125, -2501.8017578125, 0.4999558925628662, -3295.4833984375, 8000.0, 2000.0
12.5, -3278.18359375, -2521.89013671875, 0.49995502829551697, -3320.533935546875, 8000.0, 2000.0
12.75, -3314.194091796875, -2476.392822265625, 0.4999542236328125, -3291.37939453125, 8000.0, 2000.0
13.0, -3371.17041015625, -2512.524169921875, 0.49995315074920654, -3364.649169921875, 8000.0, 2000.0
13.25, -3295.74267578125, -2491.4912109375, 0.499952107667923, -3317.9541015625, 8000.0, 2000.0
13.5, -3358.83251953125, -2486.042724609375, 0.49995118379592896, -3251.508056640625, 8000.0, 2000.0
13.75, -3343.12353515625, -2506.81884765625, 0.49995049834251404, -3270.777099609375, 8000.0, 2000.0
14.0, -3249.343994140625, -2542.464111328125, 0.49994975328445435, -3271.223388671875, 8000.0, 2000.0
14.25, -3258.49267578125, -2526.221923828125, 0.4999489486217499, -3245.78466796875, 8000.0, 2000.0
14.5, -3303.353271484375, -2528.028564453125, 0.49994799494743347, -3235.392333984375, 8000.0, 2000.0
14.75, -3222.998046875, -2515.64453125, 0.499947190284729, -3265.22021484375, 8000.0, 2000.0
15.0, -3292.686279296875, -2543.516845703125, 0.49994638562202454, -3155.109619140625, 8000.0, 2000.0
15.25, -3244.875732421875, -2506.2763671875, 0.49994537234306335, -3168.258544921875, 8000.0, 2000.0
15.5, -3148.459716796875, -2545.224365234375, 0.49994438886642456, -3190.187744140625, 8000.0, 2000.0
15.75, -3152.02734375, -2511.232177734375, 0.4999435245990753, -3145.8701171875, 8000.0, 2000.0
16.0, -3128.585693359375, -2556.731689453125, 0.4999427795410156, -3193.44384765625, 8000.0, 2000.0
