Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.0, 652.8087768554688, 6715.5087890625, 0.49999645352363586, 652.8480224609375, 7000.0, 1000.0
0.25, 164.72886657714844, 6691.0859375, 0.49998709559440613, 165.0947265625, 7000.0, 1000.0
0.5, 1051.0909423828125, 6733.29248046875, 0.4999784231185913, 1051.390869140625, 7000.0, 1000.0
0.75, 1335.719482421875, 6881.87939453125, 0.499969482421875, 1335.6903076171875, 7000.0, 1000.0
1.0, 1110.909423828125, 6953.712890625, 0.4999604821205139, 1110.8096923828125, 7000.0, 1000.0
1.25, 1025.9263916015625, 6986.1650390625, 0.49995139241218567, 1025.8824462890625, 7000.0, 1000.0
1.5, 1032.3594970703125, 6998.439453125, 0.49994227290153503, 1032.2000732421875, 7000.0, 1000.0
1.75, 1035.6058349609375, 7000.42138671875, 0.4999332129955292, 1035.5469970703125, 7000.0, 1000.0
2.0, 1029.80029296875, 7001.62744140625, 0.4999241530895233, 1029.6544189453125, 7000.0, 1000.0
2.25, 1024.292236328125, 6998.86962890625, 0.4999150335788727, 1024.37548828125, 7000.0, 1000.0
2.5, 1021.5431518554688, 6998.146484375, 0.49990585446357727, 1021.6656494140625, 7000.0, 1000.0
2.75, 1019.5527954101562, 7000.53271484375, 0.499896764755249, 1019.582275390625, 7000.0, 1000.0
3.0, 1015.4649658203125, 7002.95556640625, 0.4998875856399536, 1015.4658203125, 7000.0, 1000.0
3.25, 1013.77392578125, 6998.5419921875, 0.4998784363269806, 1013.6903076171875, 7000.0, 1000.0
3.5, 1012.0740966796875, 6997.4130859375, 0.49986934661865234, 1011.9403686523438, 7000.0, 1000.0
3.75, 1053.8076171875, 7019.28564453125, 0.4998602271080017, 1053.896484375, 10000.0, 2000.0
4.0, 1741.1580810546875, 7600.7353515625, 0.4998511075973511, 1740.8592529296875, 10000.0, 2000.0
4.25, 2111.642578125, 8570.25, 0.49984103441238403, 2111.6494140625, 10000.0, 2000.0
4.5, 2133.53759765625, 8800.1513671875, 0.49983030557632446, 2133.547607421875, 10000.0, 2000.0
4.75, 2008.5115966796875, 8840.7724609375, 0.49981963634490967, 2008.60009765625, 10000.0, 2000.0
5.0, 1976.186279296875, 8841.3798828125, 0.4998089075088501, 1976.2730712890625, 10000.0, 2000.0
5.25, 2002.5634765625, 8840.08203125, 0.49979811906814575, 2002.5201416015625, 10000.0, 2000.0
5.5, 2015.068603515625, 8847.7021484375, 0.4997873604297638, 2015.07177734375, 10000.0, 2000.0
5.75, 2009.2313232421875, 8856.859375, 0.4997766613960266, 2009.177734375, 10000.0, 2000.0
6.0, 2003.2288818359375, 8852.203125, 0.49976587295532227, 2003.2923583984375, 10000.0, 2000.0
6.25, 2003.8192138671875, 8839.556640625, 0.49975505471229553, 2003.878173828125, 10000.0, 2000.0
6.5, 2005.0987548828125, 8847.2861328125, 0.4997442960739136, 2005.1214599609375, 10000.0, 2000.0
6.75, 2003.9036865234375, 8856.2763671875, 0.499733567237854, 2003.8927001953125, 10000.0, 2000.0
7.0, 2002.486328125, 8855.810546875, 0.49972280859947205, 2002.4969482421875, 10000.0, 2000.0
7.25, 2003.011474609375, 8840.388671875, 0.4997119903564453, 2002.998291015625, 10000.0, 2000.0
7.5, 2003.8126220703125, 8845.5390625, 0.49970120191574097, 2003.776123046875, 10000.0, 2000.0
7.75, 2001.6976318359375, 8854.1328125, 0.49969038367271423, 2001.7210693359375, 10000.0, 2000.0
8.0, 2001.6064453125, 8850.1025390625, 0.49967968463897705, 2001.641845703125, 10000.0, 2000.0
8.25, 2001.5240478515625, 8848.4560546875, 0.49966901540756226, 2001.5775146484375, 10000.0, 2000.0
8.5, 2002.0357666015625, 8840.396484375, 0.4996582567691803, 2002.050537109375, 10000.0, 2000.0
8.75, 2115.447998046875, 8838.96484375, 0.4996475279331207, 2115.54541015625, 1900.0, 2640.0
9.0, 2509.267578125, 8839.70703125, 0.49963679909706116, 2509.4482421875, 1900.0, 2640.0
9.25, 2759.076904296875, 8838.68359375, 0.4996260702610016, 2758.995361328125, 1900.0, 2640.0
9.5, 2714.40234375, 8871.4169921875, 0.49961528182029724, 2713.73681640625, 1900.0, 2640.0
9.75, 2600.17041015625, 11411.5009765625, 0.49960193037986755, 2599.8818359375, 1900.0, 2640.0
10.0, 2601.967041015625, -2042.7916259765625, 0.4995918273925781, 2602.217041015625, 1900.0, 2640.0
10.25, 2651.19287109375, -8056.36474609375, 0.4995986223220825, 2651.31201171875, 1900.0, 2640.0
10.5, 2651.728271484375, -8298.4296875, 0.4996073246002197, 2651.511474609375, 1900.0, 2640.0
10.75, 2630.09912109375, -8347.9833984375, 0.4996163547039032, 2630.361572265625, 1900.0, 2640.0
11.0, 2631.43896484375, -8345.109375, 0.4996255338191986, 2631.533935546875, 1900.0, 2640.0
11.25, 2641.99951171875, -8340.373046875, 0.49963465332984924, 2642.2060546875, 1900.0, 2640.0
