Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.0, 746.3195190429688, 6779.42431640625, 0.4999963641166687, 745.9078979492188, 7000.0, 1000.0
0.25, 318.6433410644531, 6685.44287109375, 0.49998700618743896, 318.6436767578125, 7000.0, 1000.0
0.5, 1148.2862548828125, 6737.68359375, 0.4999782145023346, 1148.5096435546875, 7000.0, 1000.0
0.75, 1274.72705078125, 6888.623046875, 0.49996936321258545, 1274.7947998046875, 7000.0, 1000.0
1.0, 1047.4595947265625, 6958.7802734375, 0.49996036291122437, 1047.308349609375, 7000.0, 1000.0
1.25, 1003.920654296875, 6987.18310546875, 0.4999513328075409, 1004.1784057617188, 7000.0, 1000.0
1.5, 1015.22412109375, 6995.04736328125, 0.4999423921108246, 1015.3554077148438, 7000.0, 1000.0
1.75, 1010.5831909179688, 7001.05078125, 0.4999333322048187, 1010.6276245117188, 7000.0, 1000.0
2.0, 1008.9054565429688, 7003.017578125, 0.4999243915081024, 1008.9901733398438, 7000.0, 1000.0
2.25, 1008.968994140625, 7002.396484375, 0.4999154210090637, 1008.7999877929688, 7000.0, 1000.0
2.5, 1008.9219360351562, 6998.84765625, 0.49990639090538025, 1008.9161376953125, 7000.0, 1000.0
2.75, 1008.0120849609375, 7008.076171875, 0.49989742040634155, 1053.8558349609375, 8000.0, 2000.0
3.0, 1005.9497680664062, 7757.53125, 0.49988800287246704, 1829.7886962890625, 8000.0, 2000.0
3.25, 1005.4033813476562, 8057.041015625, 0.49987784028053284, 2122.762939453125, 8000.0, 2000.0
3.5, 1006.0261840820312, 7942.79833984375, 0.49986764788627625, 2075.8154296875, 8000.0, 2000.0
3.75, 1092.888916015625, 8025.29248046875, 0.49985742568969727, 1976.721435546875, 8000.0, 2000.0
4.0, 1840.632080078125, 7988.6220703125, 0.4998472034931183, 1985.954345703125, 8000.0, 2000.0
4.25, 2125.788330078125, 8006.42529296875, 0.49983707070350647, 2005.2919921875, 8000.0, 2000.0
4.5, 2069.6396484375, 8003.11376953125, 0.49982699751853943, 2000.3704833984375, 8000.0, 2000.0
4.75, 1974.6168212890625, 7995.79541015625, 0.4998169243335724, 1998.1995849609375, 8000.0, 2000.0
5.0, 1986.17724609375, 8000.63525390625, 0.4998069107532501, 2000.1077880859375, 8000.0, 2000.0
5.25, 2005.0703125, 7995.66650390625, 0.4997968375682831, 2000.7974853515625, 8000.0, 2000.0
5.5, 1999.1231689453125, 7999.14306640625, 0.49978673458099365, 1999.3643798828125, 8000.0, 2000.0
5.75, 1996.2314453125, 8001.01953125, 0.499776691198349, 1999.190185546875, 8000.0, 2000.0
6.0, 1998.858642578125, 8001.98095703125, 0.49976661801338196, 2000.177734375, 8000.0, 2000.0
6.25, 1999.2884521484375, 7996.02587890625, 0.49975642561912537, 2000.0523681640625, 8000.0, 2000.0
6.5, 1998.91162109375, 7997.2841796875, 0.4997463822364807, 1999.945068359375, 8000.0, 2000.0
6.75, 1999.19287109375, 7943.05859375, 0.4997362792491913, 2126.336181640625, 6000.0, 2640.0
