Time, Solar house 1.Inverter.P, ESS.Inverter.P, ESS.Lithium Batteries.Li Cells Series 1.SOC, Solar house 2.Inverter.P, ESS.Inverter.Controller.Pref, Solar house 2.Inverter.Controller.Pref
0.0, -492.3276672363281, 6646.00390625, 0.49999651312828064, -490.9671325683594, 7000.0, 1000.0
0.25, -2254.03369140625, 6694.6533203125, 0.4999872148036957, -2251.655029296875, 7000.0, 1000.0
0.5, -2387.14501953125, 6731.34033203125, 0.49997857213020325, -2383.751708984375, 7000.0, 1000.0
0.75, -2646.5302734375, 6882.11572265625, 0.4999696612358093, -2641.980224609375, 7000.0, 1000.0
1.0, -3110.50048828125, 6958.86083984375, 0.49996069073677063, -3105.046630859375, 7000.0, 1000.0
1.25, -3581.02001953125, 6984.626953125, 0.4999515116214752, -3574.605224609375, 7000.0, 1000.0
1.5, -4083.802490234375, 6997.2841796875, 0.4999423027038574, -4076.676513671875, 7000.0, 1000.0
1.75, -4635.2314453125, 6998.38720703125, 0.4999329447746277, -4626.92333984375, 7000.0, 1000.0
2.0, -5217.95068359375, 7000.2158203125, 0.4999237060546875, -5209.0400390625, 7000.0, 1000.0
2.25, -5847.15869140625, 6999.62353515625, 0.4999145269393921, -5837.06201171875, 7000.0, 1000.0
2.5, -6559.07958984375, 7002.44384765625, 0.4999053478240967, -6548.0048828125, 7000.0, 1000.0
2.75, -7350.0986328125, 7008.638671875, 0.49989616870880127, -7413.79833984375, 8000.0, 2000.0
3.0, -8214.81640625, 7726.150390625, 0.499886691570282, -9946.40234375, 8000.0, 2000.0
3.25, -9159.0390625, 8071.4033203125, 0.4998764395713806, -12322.1787109375, 8000.0, 2000.0
3.5, -10349.1318359375, 7940.54931640625, 0.499866247177124, -14487.2216796875, 8000.0, 2000.0
3.75, -12359.48828125, 8032.8916015625, 0.49985605478286743, -14333.7939453125, 8000.0, 2000.0
4.0, -14547.39453125, 7999.6904296875, 0.4998457729816437, -14318.9091796875, 8000.0, 2000.0
4.25, -14302.0517578125, 8002.67236328125, 0.49983546137809753, -14436.318359375, 8000.0, 2000.0
4.5, -14359.72265625, 7999.6103515625, 0.49982506036758423, -14365.1533203125, 8000.0, 2000.0
4.75, -14470.158203125, 8005.548828125, 0.4998146891593933, -14381.4033203125, 8000.0, 2000.0
5.0, -14385.9130859375, 8004.6484375, 0.49980443716049194, -14391.13671875, 8000.0, 2000.0
5.25, -14416.595703125, 7998.9453125, 0.4997940957546234, -14385.37109375, 8000.0, 2000.0
5.5, -14422.919921875, 7998.279296875, 0.49978384375572205, -14389.412109375, 8000.0, 2000.0
5.75, -14407.9453125, 7999.63525390625, 0.49977347254753113, -14391.8876953125, 8000.0, 2000.0
6.0, -14414.9560546875, 7999.9072265625, 0.49976322054862976, -14390.3525390625, 8000.0, 2000.0
6.25, -14409.87890625, 8003.74462890625, 0.4997529089450836, -14385.587890625, 8000.0, 2000.0
6.5, -14409.8662109375, 7999.0576171875, 0.4997425675392151, -14387.8046875, 8000.0, 2000.0
6.75, -14414.7578125, 7924.2236328125, 0.49973225593566895, -14390.5224609375, 6000.0, 2640.0
7.0, -14415.1552734375, 6227.16748046875, 0.49972352385520935, -14391.1357421875, 6000.0, 2640.0
7.25, -14413.5546875, 6077.37548828125, 0.4997156262397766, -14390.7392578125, 6000.0, 2640.0
7.5, -14407.9765625, 6013.11279296875, 0.4997079074382782, -14385.345703125, 6000.0, 2640.0
7.75, -14409.8740234375, 6000.365234375, 0.4997001588344574, -14386.7060546875, 6000.0, 2640.0
8.0, -14412.998046875, 5998.6767578125, 0.4996924102306366, -14390.0380859375, 6000.0, 2640.0
8.25, -14414.796875, 6001.23486328125, 0.499684602022171, -14391.3740234375, 6000.0, 2640.0
8.5, -14413.7421875, 6001.00927734375, 0.4996768832206726, -14390.40234375, 6000.0, 2640.0
8.75, -14407.6787109375, 6000.9716796875, 0.4996691346168518, -14384.0888671875, 6000.0, 2640.0
9.0, -14408.8349609375, 5999.3115234375, 0.4996614158153534, -14385.2998046875, 6000.0, 2640.0
9.25, -14413.638671875, 5999.31005859375, 0.4996536374092102, -14390.3154296875, 6000.0, 2640.0
9.5, -14414.9560546875, 5999.65478515625, 0.4996458888053894, -14391.8564453125, 6000.0, 2640.0
9.75, -14408.017578125, 6000.87353515625, 0.49963808059692383, -14385.2041015625, 6000.0, 2640.0
10.0, -14411.80859375, 5999.4365234375, 0.49963030219078064, -14389.4111328125, 6000.0, 2640.0
