Time, Ptotal,regD,Time regD,Power
16466.75,9999.999023,,,
16467,9999.999023,,,
16467.25,9999.999023,,,
16467.5,9999.999023,,,
16467.75,9999.999023,,,
16468,9999.999023,,,
16468.25,9999.999023,,,
16468.5,9999.999023,,,
16468.75,9999.999023,,,
16469,9999.999023,,,
16469.25,9999.999023,,,
16469.5,9999.999023,,,
16469.75,9999.999023,,,
16470,9999.999023,,,
16470.25,9999.999023,,,
16470.5,9999.999023,,,
16470.75,9999.999023,,,
16471,9999.999023,,,
16471.25,9999.999023,,,
16471.5,9999.999023,,,
16471.75,9999.999023,,,
16472,9999.999023,,,
16472.25,9999.999023,,,
16472.5,9999.999023,,,
16472.75,9999.999023,,,
16473,9999.999023,,,
16473.25,9999.999023,,,
16473.5,9999.999023,,,
16473.75,9999.999023,,,
16474,9999.999023,,,
16474.25,9999.999023,,,
16474.5,9999.999023,,,
16474.75,9999.999023,,,
16475,9999.999023,,,
16475.25,9999.999023,,,
16475.5,9999.999023,,,
16475.75,9999.999023,,,
16476,9999.999023,,,
16476.25,9999.999023,,,
16476.5,9999.999023,,,
16476.75,9999.999023,,,
16477,9999.999023,,,
16477.25,9999.999023,,,
16477.5,9999.999023,,,
16477.75,9999.999023,,,
16478,9999.999023,,,
16478.25,9999.999023,-0.357200265,16478.25,6427.99735
16478.5,9999.999023,-0.36538041,16480.25,6346.1959
16478.75,9999.999023,-0.36314197,16482.25,6368.5803
16479,9999.999023,-0.360903498,16484.25,6390.96502
16479.25,9999.999023,-0.358665058,16486.25,6413.34942
16479.5,9999.999023,-0.356426618,16488.25,6435.73382
16479.75,9999.999023,-0.344836609,16490.25,6551.63391
16480,9999.999023,-0.333246601,16492.25,6667.53399
16480.25,9999.999023,-0.311513485,16494.25,6884.86515
16480.5,9999.999023,-0.289780339,16496.25,7102.19661
16480.75,9999.999023,-0.283356554,16498.25,7166.43446
16481,9999.999023,-0.27693277,16500.25,7230.6723
16481.25,9999.999023,-0.270508986,16502.25,7294.91014
16481.5,9999.999023,-0.264085217,16504.25,7359.14783
16481.75,9999.999023,-0.257661433,16506.25,7423.38567
16482,9999.999023,-0.258352184,16508.25,7416.47816
16482.25,9999.999023,-0.259042951,16510.25,7409.57049
16482.5,9879.817383,-0.259733701,16512.25,7402.66299
16482.75,9734.834961,-0.260424452,16514.25,7395.75548
16483,9621.229492,-0.246599702,16516.25,7534.00298
16483.25,9375.200195,-0.232774935,16518.25,7672.25065
16483.5,9216.985352,-0.218950185,16520.25,7810.49815
