Time, P1
0.25, 1499.999755859375
0.5, 1499.999755859375
0.75, 1499.999755859375
1.0, 1499.999755859375
1.25, 1499.999755859375
1.5, 1499.999755859375
1.75, 1499.999755859375
2.0, 1499.999755859375
2.25, 1499.999755859375
2.5, 1499.999755859375
2.75, 1499.999755859375
3.0, 1499.999755859375
3.25, 1499.999755859375
3.5, 1499.999755859375
3.75, 1499.999755859375
4.0, 1499.999755859375
4.25, 1499.999755859375
4.5, 1499.999755859375
4.75, 1499.999755859375
5.0, 1499.999755859375
5.25, 1499.999755859375
5.5, 1499.999755859375
5.75, 1499.999755859375
6.0, 1499.999755859375
6.25, 1499.999755859375
6.5, 1499.999755859375
6.75, 1499.999755859375
7.0, 1499.999755859375
7.25, 1499.999755859375
7.5, 1499.999755859375
7.75, 1499.999755859375
8.0, 1499.999755859375
8.25, 1499.999755859375
8.5, 1499.999755859375
8.75, 1499.999755859375
9.0, 1499.999755859375
9.25, 1499.999755859375
9.5, 1499.999755859375
9.75, 1499.999755859375
10.0, 1499.999755859375
10.25, 1499.999755859375
10.5, 1499.999755859375
10.75, 1499.999755859375
11.0, 1499.999755859375
11.25, 1499.999755859375
11.5, 1499.999755859375
11.75, 1499.999755859375
12.0, 1499.999755859375
12.25, 1499.999755859375
12.5, 1499.999755859375
12.75, 1499.999755859375
13.0, 1499.999755859375
13.25, 1499.999755859375
13.5, 1499.999755859375
13.75, 1499.999755859375
14.0, 1499.999755859375
14.25, 1499.999755859375
14.5, 1499.999755859375
14.75, 1499.999755859375
