Time, Microgrid1.Inverter.Pref, Microgrid1.Inverter.P1, Microgrid1.ESS.Lead acid.SOC
0.25, 0.0, 6797.44287109375, 0.512008786201477
0.5, 0.0, 237.82510375976562, 0.5270437598228455
0.75, 0.0, -2101.161865234375, 0.5411729216575623
1.0, 0.0, -1290.215576171875, 0.5549909472465515
1.25, 0.0, -559.9735717773438, 0.5622690320014954
1.5, 0.0, -239.06007385253906, 0.563646674156189
1.75, 0.0, -132.2129669189453, 0.5638823509216309
2.0, 0.0, -99.8550033569336, 0.5639320611953735
2.25, 0.0, -86.26191711425781, 0.5639525651931763
2.5, 0.0, -79.98603820800781, 0.5639667510986328
2.75, 0.0, -74.84861755371094, 0.5639798641204834
3.0, 0.0, -71.30200958251953, 0.5639927983283997
3.25, 0.0, -68.2879638671875, 0.5640056133270264
3.5, 0.0, -65.54345703125, 0.5640184283256531
3.75, 0.0, -62.38852310180664, 0.5640313625335693
4.0, 0.0, -60.73448944091797, 0.5640441179275513
4.25, 0.0, -58.924800872802734, 0.5640569925308228
4.5, 0.0, -56.27782440185547, 0.564069926738739
4.75, 0.0, -53.53204345703125, 0.5640825629234314
5.0, 0.0, -51.2999382019043, 0.564094603061676
5.25, 0.0, -49.308650970458984, 0.5641072988510132
5.5, 0.0, -47.303897857666016, 0.5641201734542847
5.75, 0.0, -45.97264099121094, 0.5641328692436218
6.0, 0.0, -44.76751708984375, 0.5641456842422485
6.25, 0.0, -43.03237533569336, 0.5641582012176514
6.5, 0.0, -41.38645553588867, 0.5641709566116333
6.75, 0.0, -40.36266326904297, 0.5641835331916809
7.0, 0.0, -39.00807189941406, 0.5641956329345703
7.25, 0.0, -37.58196258544922, 0.5642082095146179
7.5, 0.0, -36.510929107666016, 0.5642207264900208
7.75, 0.0, -35.712276458740234, 0.5642334222793579
8.0, 0.0, -34.78612518310547, 0.5642459392547607
8.25, 0.0, -33.56734848022461, 0.5642586350440979
8.5, 0.0, -32.61751937866211, 0.5642708539962769
8.75, 0.0, -32.283565521240234, 0.5642832517623901
9.0, 0.0, -31.783042907714844, 0.5642961263656616
9.25, 0.0, -30.90470314025879, 0.564308226108551
9.5, 0.0, -28.961872100830078, 0.5643211007118225
9.75, 0.0, -27.39141845703125, 0.5643337965011597
10.0, 0.0, -26.53593635559082, 0.5643465518951416
10.25, 0.0, -25.940393447875977, 0.5643591284751892
10.5, 0.0, -25.683443069458008, 0.5643719434738159
10.75, 0.0, -25.0244140625, 0.5643841028213501
11.0, 0.0, -24.234556198120117, 0.5643969774246216
11.25, 0.0, -23.118371963500977, 0.5644096732139587
11.5, 0.0, -23.618375778198242, 0.5644224882125854
11.75, 0.0, -23.181365966796875, 0.5644353032112122
12.0, 0.0, -23.221107482910156, 0.5644473433494568
12.25, 0.0, -22.436891555786133, 0.564460039138794
12.5, 0.0, -21.088380813598633, 0.5644727945327759
12.75, 0.0, -20.770082473754883, 0.5644856691360474
13.0, 0.0, -20.654836654663086, 0.564498245716095
13.25, 0.0, -20.241151809692383, 0.5645106434822083
13.5, 0.0, -19.831289291381836, 0.564523458480835
13.75, 0.0, -19.60941505432129, 0.5645362734794617
14.0, 0.0, -19.401235580444336, 0.5645490288734436
14.25, 0.0, -18.387252807617188, 0.5645615458488464
14.5, 0.0, -17.855430603027344, 0.5645744204521179
14.75, 0.0, -17.4163761138916, 0.5645872354507446
15.0, 0.0, -18.151859283447266, 0.5645998120307922
15.25, 0.0, -17.415435791015625, 0.5646125674247742
15.5, 0.0, -16.754262924194336, 0.5646254420280457
15.75, 0.0, -16.69975471496582, 0.5646383762359619
16.0, 0.0, -16.184263229370117, 0.56465083360672
16.25, 0.0, -15.8961181640625, 0.5646635890007019
16.5, 0.0, -15.516923904418945, 0.5646763443946838
16.75, 0.0, -15.277131080627441, 0.5646890997886658
17.0, 0.0, -15.43738842010498, 0.5647016763687134
17.25, 0.0, -14.944024085998535, 0.5647144913673401
17.5, 0.0, -15.200762748718262, 0.5647273063659668
17.75, 0.0, -14.622480392456055, 0.564740002155304
18.0, 0.0, -14.777782440185547, 0.5647528171539307
18.25, 0.0, -14.377140998840332, 0.564765453338623
18.5, 0.0, -14.077780723571777, 0.564778208732605
18.75, 0.0, -13.892524719238281, 0.5647907257080078
19.0, 0.0, -13.870841026306152, 0.564803421497345
19.25, 0.0, -13.707980155944824, 0.5648161768913269
19.5, 0.0, -13.02708625793457, 0.5648288130760193
19.75, 0.0, -13.036691665649414, 0.564841628074646
20.0, 0.0, -12.863122940063477, 0.5648542642593384
20.25, 0.0, -12.66252326965332, 0.5648669004440308
20.5, 0.0, -12.393207550048828, 0.5648794174194336
20.75, 0.0, -12.353437423706055, 0.5648921728134155
21.0, 0.0, -12.134429931640625, 0.5649049878120422
21.25, 0.0, -11.916885375976562, 0.5649175643920898
21.5, 0.0, -11.712498664855957, 0.5649303793907166
21.75, 0.0, -11.816753387451172, 0.5649427175521851
22.0, 0.0, -11.539186477661133, 0.5649555325508118
22.25, 0.0, -11.309101104736328, 0.5649682879447937
22.5, 0.0, -11.15728759765625, 0.5649809837341309
22.75, 0.0, -10.856578826904297, 0.5649937391281128
23.0, 0.0, -10.779158592224121, 0.5650065541267395
23.25, 0.0, -10.859923362731934, 0.5650192499160767
23.5, 0.0, -10.764815330505371, 0.5650319457054138
23.75, 0.0, -10.680137634277344, 0.565044641494751
24.0, 0.0, -10.339966773986816, 0.5650573968887329
24.25, 0.0, -10.260673522949219, 0.5650700926780701
24.5, 0.0, -10.238986015319824, 0.565082848072052
24.75, 0.0, -10.074838638305664, 0.5650953650474548
25.0, 0.0, -9.612936019897461, 0.5651074051856995
25.25, 0.0, -9.497869491577148, 0.5651200413703918
25.5, 0.0, -9.367277145385742, 0.5651327967643738
25.75, 0.0, -9.323583602905273, 0.5651454329490662
26.0, 0.0, -9.395277976989746, 0.5651582479476929
26.25, 0.0, -9.602269172668457, 0.5651708841323853
26.5, 0.0, -9.540573120117188, 0.5651834011077881
26.75, 0.0, -9.839814186096191, 0.56519615650177
27.0, 0.0, -9.863255500793457, 0.5652088522911072
27.25, 0.0, -9.821322441101074, 0.5652214884757996
27.5, 0.0, -9.64281940460205, 0.5652340650558472
27.75, 0.0, -9.370862007141113, 0.5652468204498291
28.0, 0.0, -9.09426498413086, 0.565259575843811
28.25, 0.0, -9.02078628540039, 0.5652720928192139
28.5, 0.0, -9.174446105957031, 0.5652848482131958
28.75, 0.0, -9.11504077911377, 0.5652976036071777
29.0, 0.0, -8.96863079071045, 0.5653105974197388
29.25, 0.0, -8.742111206054688, 0.5653232932090759
29.5, 0.0, -8.397398948669434, 0.5653359889984131
29.75, 0.0, -8.450109481811523, 0.5653486847877502
30.0, 0.0, -8.334395408630371, 0.5653607249259949
30.25, 0.0, -8.301360130310059, 0.5653733015060425
30.5, 0.0, -8.141501426696777, 0.5653858780860901
30.75, 0.0, -8.203010559082031, 0.565398633480072
31.0, 0.0, -8.032537460327148, 0.5654115676879883
31.25, 0.0, -8.162459373474121, 0.5654241442680359
31.5, 0.0, -8.07558822631836, 0.5654369592666626
31.75, 0.0, -8.20258617401123, 0.565449595451355
32.0, 0.0, -7.607760429382324, 0.5654615759849548
32.25, 0.0, -7.52634859085083, 0.5654743909835815
32.5, 0.0, -7.455896377563477, 0.5654870867729187
32.75, 0.0, -7.407732009887695, 0.5654997229576111
33.0, 0.0, -7.366328239440918, 0.5655125975608826
33.25, 0.0, -7.180981636047363, 0.5655251145362854
33.5, 0.0, -7.1906867027282715, 0.5655370950698853
33.75, 0.0, -7.302621841430664, 0.5655497312545776
34.0, 0.0, -7.271322250366211, 0.5655625462532043
34.25, 0.0, -7.299807548522949, 0.565575122833252
34.5, 0.0, -6.815046310424805, 0.5655879974365234
34.75, 0.0, -6.830595016479492, 0.5656005144119263
35.0, 0.0, -6.816333770751953, 0.5656134486198425
35.25, 0.0, -6.533626556396484, 0.5656258463859558
35.5, 0.0, -6.417751312255859, 0.5656380653381348
35.75, 0.0, -6.451385498046875, 0.5656508803367615
36.0, 0.0, -6.334859848022461, 0.5656632781028748
36.25, 0.0, -6.5508341789245605, 0.5656753778457642
36.5, 0.0, -6.4469146728515625, 0.5656874775886536
36.75, 0.0, -6.112865447998047, 0.5656997561454773
37.0, 0.0, -6.248459815979004, 0.5657120943069458
37.25, 0.0, -6.165754318237305, 0.5657244324684143
37.5, 0.0, -6.210675239562988, 0.5657371878623962
37.75, 0.0, -6.251195907592773, 0.56574946641922
38.0, 0.0, -6.146577835083008, 0.5657622814178467
38.25, 0.0, -5.869821071624756, 0.5657751560211182
38.5, 0.0, -5.892157554626465, 0.5657879114151001
38.75, 0.0, -5.766218662261963, 0.5658005475997925
39.0, 0.0, -5.770139217376709, 0.5658132433891296
39.25, 0.0, -5.75051736831665, 0.5658258199691772
39.5, 0.0, -5.720070838928223, 0.5658386945724487
39.75, 0.0, -5.851492881774902, 0.5658512711524963
40.0, 0.0, -5.625699043273926, 0.565863311290741
40.25, 0.0, -5.567689418792725, 0.565875768661499
40.5, 0.0, -5.493432998657227, 0.5658885836601257
40.75, 0.0, -5.587453842163086, 0.5659015774726868
41.0, 0.0, -5.426377773284912, 0.5659142136573792
41.25, 0.0, -5.322899341583252, 0.5659270286560059
41.5, 0.0, -5.297013282775879, 0.5659398436546326
41.75, 0.0, -5.0166239738464355, 0.5659526586532593
42.0, 0.0, -4.987000942230225, 0.5659654140472412
42.25, 0.0, -4.893822193145752, 0.5659781098365784
42.5, 0.0, -4.908411979675293, 0.5659900903701782
42.75, 0.0, -5.359411716461182, 0.5660027861595154
43.0, 0.0, -5.2085490226745605, 0.56601482629776
43.25, 0.0, -4.910755157470703, 0.5660276412963867
43.5, 0.0, -4.882320404052734, 0.5660403966903687
43.75, 0.0, -5.018914699554443, 0.566053032875061
44.0, 0.0, -4.70585823059082, 0.5660650730133057
44.25, 0.0, -4.665822505950928, 0.5660775899887085
44.5, 0.0, -4.5584588050842285, 0.566089928150177
44.75, 0.0, -4.264960289001465, 0.5661024451255798
45.0, 0.0, -4.199099063873291, 0.5661149621009827
45.25, 0.0, -4.334258079528809, 0.5661274790763855
45.5, 0.0, -4.202674388885498, 0.5661398768424988
45.75, 0.0, -4.100149631500244, 0.5661527514457703
46.0, 0.0, -4.224515438079834, 0.5661656260490417
46.25, 0.0, -4.284501552581787, 0.5661782026290894
46.5, 0.0, -3.9901037216186523, 0.566190242767334
46.75, 0.0, -4.088286399841309, 0.5662025809288025
47.0, 0.0, -3.9935975074768066, 0.5662153363227844
47.25, 0.0, -4.140032768249512, 0.5662280321121216
47.5, 0.0, -3.83088755607605, 0.5662409067153931
47.75, 0.0, -3.9883391857147217, 0.5662533640861511
48.0, 0.0, -4.199769020080566, 0.5662663578987122
48.25, 0.0, -4.059103965759277, 0.5662789344787598
48.5, 0.0, -3.6753385066986084, 0.5662916302680969
48.75, 0.0, -3.8060269355773926, 0.5663044452667236
49.0, 0.0, -3.7982170581817627, 0.5663164854049683
49.25, 0.0, -3.465158224105835, 0.5663291811943054
49.5, 0.0, -3.7886576652526855, 0.5663418769836426
49.75, 0.0, -3.803955078125, 0.5663548111915588
50.0, 0.0, -3.821906328201294, 0.566367506980896
50.25, 0.0, -3.903651475906372, 0.5663803219795227
50.5, 0.0, -3.947572708129883, 0.5663930773735046
50.75, 0.0, -3.9586000442504883, 0.5664056539535522
51.0, 0.0, -3.747948169708252, 0.5664185285568237
51.25, 0.0, -3.760972261428833, 0.5664313435554504
51.5, 0.0, -3.6551096439361572, 0.5664433240890503
51.75, 0.0, -3.6160888671875, 0.5664559602737427
52.0, 0.0, -3.3095462322235107, 0.5664687156677246
52.25, 0.0, -3.3640029430389404, 0.5664815306663513
52.5, 0.0, -3.1763713359832764, 0.5664941668510437
52.75, 0.0, -3.235833168029785, 0.5665068030357361
53.0, 0.0, -2.975891351699829, 0.5665188431739807
53.25, 0.0, -2.620638608932495, 0.5665314793586731
53.5, 0.0, -2.250558614730835, 0.566544234752655
53.75, 0.0, -2.4181952476501465, 0.5665568709373474
54.0, 0.0, -2.098696708679199, 0.5665696859359741
54.25, 0.0, -2.0966103076934814, 0.5665823817253113
54.5, 0.0, -2.2017643451690674, 0.5665952563285828
54.75, 0.0, -2.187805414199829, 0.5666072964668274
55.0, 0.0, -1.594245195388794, 0.5666201114654541
55.25, 0.0, -1.8960766792297363, 0.5666327476501465
55.5, 0.0, -1.8657383918762207, 0.5666455626487732
55.75, 0.0, -1.8724616765975952, 0.5666583180427551
56.0, 0.0, -1.6241544485092163, 0.5666711926460266
56.25, 0.0, -1.768645167350769, 0.5666835308074951
56.5, 0.0, -1.8928086757659912, 0.5666964054107666
56.75, 0.0, -1.5419502258300781, 0.5667089223861694
57.0, 0.0, -2.025148868560791, 0.5667217373847961
